SAT,WL(um),PW(cm),PHASE,COD,VZA(deg),SZA(deg),Reff(um),Topdown(W/m2),L30(W/m2/sr),L150(W/m2/sr),R30,R150
GOES13,3.9,6,water,50,10,10,6.5,3195.312,214.2199707,205.4204712,0.210618520571181,0.20196695759878
GOES13,3.9,6,water,50,10,10,7.0,3195.312,202.4204254,198.3891144,0.199017348344437,0.195053811443523
GOES13,3.9,6,water,50,10,10,7.5,3195.312,190.8071747,191.900116,0.187599338746809,0.1886739055994
GOES13,3.9,6,water,50,10,10,8.0,3195.312,179.5868073,185.6877136,0.17656760732452,0.182565945644008
GOES13,3.9,6,water,50,10,10,8.5,3195.312,168.8891907,179.5732117,0.16604983825487,0.17655424029273
GOES13,3.9,6,water,50,10,10,9.0,3195.312,158.7826843,173.4688568,0.156113241684739,0.170552511350848
GOES13,3.9,6,water,50,10,10,9.5,3195.312,149.2932129,167.3614349,0.146783306568328,0.16454776697114
GOES13,3.9,6,water,50,10,10,10.0,3195.312,140.4224091,161.2867432,0.138061638058487,0.158575202533757
GOES13,3.9,6,water,50,10,10,10.5,3195.312,132.1586609,155.308609,0.129936819375293,0.152697572278904
GOES13,3.9,6,water,50,10,10,11.0,3195.312,124.4823074,149.4945526,0.122389520156325,0.146981261360347
GOES13,3.9,6,water,50,10,10,11.5,3195.312,117.3698044,143.906601,0.115396592024914,0.141487253984799
GOES13,3.9,6,water,50,10,10,12.0,3195.312,110.7934113,138.5911713,0.108930760753952,0.136261186891447
GOES13,3.9,6,water,50,10,10,12.5,3195.312,104.7242661,133.580368,0.102963649569226,0.131334624841837
GOES13,3.9,6,water,50,10,10,13.0,3195.312,99.13053894,128.8874207,0.097463963731961,0.126720575020923
GOES13,3.9,6,water,50,10,10,13.5,3195.312,93.97967529,124.5127869,0.092399696016482,0.12241948723725
GOES13,3.9,6,water,50,10,10,14.0,3195.312,89.23828888,120.4445343,0.087738021440264,0.118419629795752
GOES13,3.9,6,water,50,10,10,14.5,3195.312,84.87343597,116.6630173,0.083446550110999,0.114701687376788
GOES13,3.9,6,water,50,10,10,15.0,3195.312,80.8533783,113.1445007,0.079494077349942,0.111242323814765
GOES13,3.9,6,water,50,10,10,15.5,3195.312,77.14579773,109.857132,0.075848828347245,0.108010222111532
GOES13,3.9,6,water,50,10,10,16.0,3195.312,73.72238159,106.7740631,0.0724829664234,0.104978985535338
GOES13,3.9,6,water,50,10,10,16.5,3195.312,70.55529785,103.8668594,0.069369127458414,0.102120657526553
GOES13,3.9,6,water,50,10,10,17.0,3195.312,67.61943054,101.1082764,0.066482617730096,0.099408451617672
GOES13,3.9,6,water,50,10,10,17.5,3195.312,64.89212036,98.47488403,0.063801158884904,0.096819331643281
GOES13,3.9,6,water,50,10,10,18.0,3195.312,62.35207367,95.94521332,0.061303815269921,0.094332189568098
GOES13,3.9,6,water,50,10,10,18.5,3195.312,59.98107529,93.50141144,0.058972677937391,0.091929472702566
GOES13,3.9,6,water,50,10,10,19.0,3195.312,57.76231003,91.12827301,0.056791214393031,0.089596231298396
