CloudFraction,Count,Time
0.8730827067669173,133.0,2015-02-13 15:54:13.233571000
1.0,275.0,2015-02-14 04:13:58.148406000
0.9999118942731278,454.0,2015-02-14 16:37:02.251245000
1.0,256.0,2015-02-15 04:56:48.625833000
0.9997452229299363,157.0,2015-02-16 04:01:42.812878000
0.6484901531728666,457.0,2015-02-16 16:24:47.370988000
1.0,412.0,2015-02-17 04:44:33.691530000
1.0,132.0,2015-02-17 17:07:37.873984000
0.9935526315789474,304.0,2015-02-18 16:12:32.367812000
0.9980753138075313,478.0,2015-02-19 04:32:18.285110000
1.0,65.0,2015-02-20 05:15:03.750725000
0.08,1.0,2015-02-20 16:00:07.514939999
0.6864739884393063,173.0,2015-02-20 16:00:17.257242000
0.8715309446254073,307.0,2015-02-21 04:20:01.211635000
0.37866666666666665,45.0,2015-02-21 04:20:09.369648000
0.8908616187989555,383.0,2015-02-21 16:43:05.903347000
1.0,194.0,2015-02-22 05:02:51.703187000
1.0,48.0,2015-02-22 15:48:01.138448000
1.0,208.0,2015-02-23 04:07:45.905753000
0.9938144329896907,485.0,2015-02-23 16:30:49.754860000
1.0,332.0,2015-02-24 04:50:35.780604000
1.0,21.0,2015-02-24 17:13:39.487403000
1.0,119.0,2015-02-25 03:55:29.020012000
1.0,475.0,2015-02-26 04:38:19.178591000
1.0,175.0,2015-02-26 17:01:22.478185000
0.9950877192982456,228.0,2015-02-27 16:06:16.768714000
0.5485981308411215,428.0,2015-02-28 04:26:02.012338000
0.805940594059406,303.0,2015-02-28 16:49:05.331400000
1.0,144.0,2015-03-01 05:08:50.707570000
1.0,132.0,2015-03-01 15:54:00.069788000
1.0,272.0,2015-03-02 04:13:44.566499000
0.9664208242950109,461.0,2015-03-02 16:36:47.895384000
1.0,258.0,2015-03-03 04:56:33.552562000
1.0,156.0,2015-03-04 04:01:26.640931000
1.0,416.0,2015-03-05 04:44:17.706618000
1.0,132.0,2015-03-05 17:07:22.471219000
1.0,299.0,2015-03-06 16:12:19.667866000
1.0,482.0,2015-03-07 04:32:06.558585000
0.9419047619047619,84.0,2015-03-07 16:55:06.246738000
0.7938255033557047,149.0,2015-03-07 16:55:14.435924000
0.9950442477876106,113.0,2015-03-08 05:14:58.113039000
0.6813793103448276,87.0,2015-03-08 16:00:04.645448000
0.5245977011494253,87.0,2015-03-08 16:00:12.863105000
1.0,352.0,2015-03-09 04:19:55.061213000
0.9846233766233766,385.0,2015-03-09 16:42:59.896469000
1.0,193.0,2015-03-10 05:02:47.106969000
1.0,42.0,2015-03-10 15:47:57.606795000
1.0,206.0,2015-03-11 04:07:43.266122000
1.0,487.0,2015-03-11 16:30:48.369621000
0.9409009009009008,333.0,2015-03-12 04:50:35.529514000
0.9580952380952381,21.0,2015-03-12 17:13:41.477140000
1.0,119.0,2015-03-13 03:55:31.082044000
0.9788541666666667,384.0,2015-03-13 16:18:36.727922000
1.0,474.0,2015-03-14 04:38:23.760099000
0.9296551724137931,174.0,2015-03-14 17:01:28.398628000
1.0,231.0,2015-03-15 16:06:25.126119000
1.0,433.0,2015-03-16 04:26:11.566624000
0.9854785478547855,303.0,2015-03-16 16:49:16.163160000
1.0,145.0,2015-03-17 05:09:02.888367000
0.9830303030303029,132.0,2015-03-17 15:54:13.363827000
1.0,274.0,2015-03-18 04:13:59.035805000
1.0,456.0,2015-03-18 16:37:03.668669000
1.0,257.0,2015-03-19 04:56:50.697865000
1.0,159.0,2015-03-20 04:01:46.033930000
1.0,456.0,2015-03-20 16:24:51.030760000
1.0,415.0,2015-03-21 04:44:37.901331000
0.9750375939849625,133.0,2015-03-21 17:07:42.505054000
0.9812459016393443,305.0,2015-03-22 16:12:38.305340000
1.0,481.0,2015-03-23 04:32:24.817067000
0.5237931034482759,232.0,2015-03-23 16:55:29.095268000
1.0,9.0,2015-03-24 05:15:07.058504000
0.9988571428571429,175.0,2015-03-24 16:00:25.564568000
0.3040625,128.0,2015-03-25 04:20:06.117823000
0.27823008849557523,226.0,2015-03-25 04:20:14.285198000
0.7859375,384.0,2015-03-25 16:43:15.600632000
0.8331958762886598,194.0,2015-03-26 05:03:02.211881000
1.0,49.0,2015-03-26 15:48:12.556623000
0.9825837320574162,209.0,2015-03-27 04:07:57.610493000
0.07753593429158111,487.0,2015-03-27 16:31:02.057785000
1.0,330.0,2015-03-28 04:50:48.804455000
1.0,18.0,2015-03-28 17:13:52.630137000
1.0,120.0,2015-03-29 03:55:43.451547000
0.7259530026109661,383.0,2015-03-29 16:18:48.342225000
1.0,473.0,2015-03-30 04:38:34.839087000
1.0,173.0,2015-03-30 17:01:38.920809000
1.0,230.0,2015-03-31 16:06:34.418736000
1.0,433.0,2015-04-01 04:26:20.361548000
0.9988039867109635,301.0,2015-04-01 16:49:24.287832000
1.0,147.0,2015-04-02 05:09:10.484595000
0.8180451127819549,133.0,2015-04-02 15:54:20.582699000
0.9493040293040294,273.0,2015-04-03 04:14:05.522483999
0.9448577680525164,457.0,2015-04-03 16:37:09.534076000
0.9996899224806203,258.0,2015-04-04 04:56:55.979769000
0.9868354430379747,158.0,2015-04-05 04:01:50.197222000
0.1876586433260394,457.0,2015-04-05 16:24:54.633979000
0.49501210653753025,413.0,2015-04-06 04:44:40.991616000
0.9846616541353383,133.0,2015-04-06 17:07:45.019358000
0.6454666666666666,300.0,2015-04-07 16:12:39.620700000
1.0,482.0,2015-04-08 04:32:25.554453000
0.6831304347826087,230.0,2015-04-08 16:55:29.260926000
1.0,12.0,2015-04-09 05:15:07.413713000
0.9750289017341041,173.0,2015-04-09 16:00:24.568357000
1.0,136.0,2015-04-10 04:20:04.863864000
1.0,216.0,2015-04-10 04:20:13.019118000
0.7932291666666668,384.0,2015-04-10 16:43:13.515588999
1.0,193.0,2015-04-11 05:02:59.650091000
0.9544186046511628,43.0,2015-04-11 15:48:09.393418000
1.0,207.0,2015-04-12 04:07:53.813194000
1.0,485.0,2015-04-12 16:30:57.703850000
1.0,333.0,2015-04-13 04:50:43.873341000
1.0,22.0,2015-04-13 17:13:48.594507000
1.0,117.0,2015-04-14 03:55:37.143394000
0.9921038961038962,385.0,2015-04-14 16:18:41.759641000
1.0,476.0,2015-04-15 04:38:27.711181000
0.9661714285714286,175.0,2015-04-15 17:01:31.163389000
1.0,231.0,2015-04-16 16:06:25.819348000
1.0,430.0,2015-04-17 04:26:11.077147000
1.0,304.0,2015-04-17 16:49:14.388711000
1.0,145.0,2015-04-18 05:08:59.870955000
1.0,133.0,2015-04-18 15:54:09.422228000
1.0,271.0,2015-04-19 04:13:53.918677000
0.9522440087145969,459.0,2015-04-19 16:36:57.424921000
0.9898461538461538,260.0,2015-04-20 04:56:43.255957000
1.0,156.0,2015-04-21 04:01:36.591792000
0.9364757709251101,454.0,2015-04-21 16:24:40.236706000
1.0,419.0,2015-04-22 04:44:26.024382000
1.0,298.0,2015-04-23 16:12:26.581197000
1.0,481.0,2015-04-24 04:32:13.793008000
0.9715021459227468,233.0,2015-04-24 16:55:18.815247000
1.0,82.0,2015-04-25 05:15:03.033522999
1.0,5.0,2015-04-25 16:00:07.810360000
1.0,168.0,2015-04-25 16:00:16.717173000
1.0,297.0,2015-04-26 04:20:01.690986000
1.0,55.0,2015-04-26 04:20:09.899313000
0.562687338501292,387.0,2015-04-26 16:43:07.943730000
1.0,198.0,2015-04-27 05:02:55.325828000
1.0,42.0,2015-04-27 15:48:06.226273000
1.0,204.0,2015-04-28 04:07:51.790187000
1.0,486.0,2015-04-28 16:30:57.102354000
1.0,333.0,2015-04-29 04:50:44.469995000
1.0,23.0,2015-04-29 17:13:50.120069000
1.0,117.0,2015-04-30 03:55:40.222097000
0.9879895561357702,383.0,2015-04-30 16:18:46.159584000
1.0,476.0,2015-05-01 04:38:33.289955000
1.0,173.0,2015-05-01 17:01:38.096913000
1.0,231.0,2015-05-02 16:06:35.185706000
1.0,434.0,2015-05-03 04:26:21.817799000
0.4817105263157895,304.0,2015-05-03 16:49:26.665099000
0.9975172413793103,145.0,2015-05-04 05:09:13.351511000
0.9380451127819549,133.0,2015-05-04 15:54:24.338296000
